lat,lon,width,folder_name
33.928460792331826,-91.01016312257819,459.3175853,LL_04032022_596
32.79101315460292,-91.15349713177683,0.0,LM_08_MVF_20220921_CS_09212022_485
34.08793186698559,-90.91015060031437,688.97637795,LM_15_CVB_20220325_CS_6170_615_03252022_616
34.02426262323085,-90.89744123667637,754.5931758500001,LM_16_OVLX_20220505_CS_610_614_SORT_LWRP_05052022_613
34.025573349665684,-90.96304038163517,557.74278215,LM_16_OVLX_20220913_CS_610_607_SORT_LWRP_09132022_609
34.74057083873358,-90.54240632553743,557.74278215,LM_18_FRIX_20220929_CS_680_682_SORT_LWRP_09292022_682
34.93907838830367,-90.24230968046021,754.5931758500001,LM_18_FRIX_20220929_CS_709_711_SORT_LWRP_09292022_711
34.38710322069498,-90.62199857541161,623.35958005,LM_18_FRIX_20221031_CS_652_653_SORT_ACTUALDEPTH_10312022_653
35.41375435105842,-90.0410826971966,164.04199475,LM_19_MEMX_20220804_CS_758_759_SORT_LWRP_08042022_757
35.41673633177484,-90.03222396147436,262.46719160000004,LM_19_MEMX_20220901_CS_756_SORT_LWRP_09012022_757
35.254327731850466,-90.09459278026272,787.4015748,LM_19_MEMX_20220928_CS_739_745_SORT_LWRP_09282022_742
35.5128496703704,-89.90910028996242,557.74278215,LM_22_RANX_20220705_CS_772_769_SORT_LWRP_07052022_771
36.53222187775836,-89.56737322038302,590.5511811,LM_25_MADX_20220519_CS_885_SORT_LWRP_05192022_885
36.45837735125172,-89.46510205058465,393.7007874,LM_25_MADX_20220822_CS_902_899_SORT_LWRP_08222022_901
36.53478666965423,-89.56872988164307,787.4015748,LM_25_MADX_20221011_CS_886_884_SORT_ACTUALDEPTH_10112022_885
33.878857750364624,-91.06509341566718,0.0,MM_04182022_587
33.23442977688441,-91.10878645786558,492.12598425,QQ_06022022_528
33.111937020835406,-91.11885894231997,0.0,RR_06212022_509
32.667299520567674,-91.13074686156773,0.0,SS_06232022_464
32.345334113356685,-90.91477168686075,0.0,UU_07162022_426
31.261427909333676,-91.61714272489264,0.0,YY_07212022_335
