chunk,river,survey_id,date
2021-2,LM,LM_04_GGK_20210716_CS_4044_4018,2021-07-16
2021-2,LM,LM_04_GGK_20210717_CS_4030_3978,2021-07-17
2021-2,LM,LM_05_VGG_20210718_CS_4096_4076,2021-07-18
2021-2,LM,LM_05_VGG_20210719_CS_4146_4098,2021-07-19
2021-2,LM,LM_05_VGG_20210720_CS_4182_4148,2021-07-20
2021-2,LM,LM_05_VGG_20210721_CS_4242_4188,2021-07-21
2021-2,LM,LM_05_VGG_20210722_CS_4288_4244,2021-07-22
2021-2,LM,LM_04_GGK_20210723_CS_3942_3902,2021-07-23
2021-2,LM,LM_05_VGG_20210723_CS_4334_4290,2021-07-23
2021-2,LM,LM_04_GGK_20210724_CS_3900_3870,2021-07-24
2021-2,LM,LM_05_VGG_20210724_CS_4376_4336,2021-07-24
2021-2,LM,LM_04_GGK_20210725_CS_3868_3820,2021-07-25
2021-2,LM,LM_05_VGG_20210729_CS_4186_4184,2021-07-29
2021-2,LM,LM_02_GCG_20210802_CS_3468_3454,2021-08-02
2021-2,LM,LM_15_CVB_20210802_CS,2021-08-02
2021-2,LM,LM_02_GCG_20210803_CS_3504_3468,2021-08-03
2021-2,LM,LM_02_GCG_20210804_CS_3546_3492,2021-08-04
2021-2,LM,LM_05_VGG_20210805_CS_4182_4182,2021-08-05
2021-2,LM,LM_03_KGC_20210806_CS_3712_3660,2021-08-06
2021-2,LM,LM_08_MVF_20210806_CS,2021-08-06
2021-2,LM,LM_03_KGC_20210807_CS_3764_3714,2021-08-07
2021-2,LM,LM_03_KGC_20210808_CS_3786_3766,2021-08-08
2021-3,LM,LM_02_GCG_20210809_CS_3660_3548,2021-08-09
2021-3,LM,LM_03_KGC_20210809_CS_3820_3770,2021-08-09
2021-3,LM,LM_04_GGK_20210810_CS_4048_4046,2021-08-10
2021-3,LM,LM_01_GCB_20210811_CS_3236_3200,2021-08-11
2021-3,LM,LM_01_GCB_20210812_CS_3290_3232,2021-08-12
2021-3,LM,LM_01_GCB_20210813_CS_3340_3292,2021-08-13
2021-3,LM,LM_04_GGK_20210816_CS_3976_3944,2021-08-16
2021-3,LM,LM_01_GCB_20210817_CS_3386_3342,2021-08-17
2021-3,LM,LM_08_MVF_20210818_CS,2021-08-18
2021-3,LM,LM_01_GCB_20210820_CS_3454_3388,2021-08-20
2021-3,LM,LM_15_CVB_20210915_CS,2021-09-15
2021-3,LM,LM_08_MVF_20210917_CS,2021-09-17
2021-3,LM,LM_14_VBO_20210922_CS,2021-09-22
2021-3,LM,LM_06_MBV_20210924_CS,2021-09-24
2021-3,LM,LM_14_VBO_20211001_CS,2021-10-01
2021-3,LM,LM_15_CVB_20211004_CS,2021-10-04
2021-3,LM,LM_08_MVF_20211014_CS,2021-10-14
2021-3,LM,LM_14_VBO_20211018_CS,2021-10-18
2021-3,LM,LM_18_FRIX_20211018_CS_652_SORT_LWRP,2021-10-18
2021-3,LM,LM_18_FRIX_20211018_CS_663_SORT_LWRP,2021-10-18
2021-3,LM,LM_18_FRIX_20211018_CS_699_694_SORT_LWRP,2021-10-18
2021-3,LM,LM_19_MEMX_20211018_CS_720_717_SORT_LWRP,2021-10-18
2021-3,LM,LM_19_MEMX_20211018_CS_725_SORT_LWRP,2021-10-18
2021-3,LM,LM_19_MEMX_20211018_CS_727_724_SORT_LWRP,2021-10-18
2021-3,LM,LM_19_MEMX_20211018_CS_737_735_SORT_LWRP,2021-10-18
2021-3,LM,LM_19_MEMX_20211018_CS_758_756_SORT_LWRP,2021-10-18
2021-3,LM,LM_22_RANX_20211018_CS_774_769_SORT_LWRP,2021-10-18
2021-3,LM,LM_23_OSCX_20211018_CS_785_SORT_LWRP,2021-10-18
2021-3,LM,LM_24_CARX_20211018_CS_849_SORT_LWRP,2021-10-18
2021-3,LM,LM_25_MADX_20211018_CS_885_SORT_LWRP,2021-10-18
2021-3,LM,LM_25_MADX_20211018_CS_889_SORT_LWRP,2021-10-18
2021-3,LM,LM_25_MADX_20211018_CS_899_SORT_LWRP,2021-10-18
2021-3,LM,LM_26_HIKX_20211018_CS_921_SORT_LWRP,2021-10-18
2021-3,LM,LM_26_HIKX_20211021_CS_921_SORT_LWRP,2021-10-21
2021-3,LM,LM_18_FRIX_20211026_CS_654_649_SORT_LWRP,2021-10-26
2021-3,LM,LM_25_MADX_20211026_CS_902_898_LWRP,2021-10-26
2021-3,LM,LM_25_MADX_20211026_CS_902_898_SORT_LWRP,2021-10-26
2021-3,LM,LM_19_MEMX_20211027_CS_725_SORT_LWRP,2021-10-27
2021-3,LM,LM_19_MEMX_20211027_CS_727_724_SORT_LWRP,2021-10-27
2021-3,LM,LM_25_MADX_20211103_CS_902_899_LWRP,2021-11-03
2021-3,LM,LM_19_MEMX_20211117_CS_720_717_SORT_LWRP,2021-11-17
2021-3,LM,LM_08_MVF_20211118_CS,2021-11-18
2021-3,LM,LM_19_MEMX_20211119_CS_746_741_SORT_LWRP,2021-11-19
2021-3,LM,LM_15_CVB_20211124_CS,2021-11-24
2021-3,LM,LM_14_VBO_20211129_CS,2021-11-29
2021-3,LM,LM_10_SSL_20211202_CS,2021-12-02
2021-3,LM,LM_24_CARX_20211206_CS_840_844_SORT_LWRP,2021-12-06
2021-3,LM,LM_24_CARX_20211207_CS_865_870_SORT_LWRP,2021-12-07
2021-3,LM,LM_25_MADX_20211208_CS_898_902_SORT_LWRP,2021-12-08
2022-1,LM,LM_19_MEM_20220122_CS_727_BAU_SORT,2022-01-22
2022-1,LM,LM_15_CVB_20220201_CS,2022-02-01
2022-1,LM,LM_08_MVF_20220202_CS,2022-02-02
2022-1,LM,LM_14_VBO_20220202_CS,2022-02-02
2022-1,LM,LM_26_HIKX_20220209_CS_924_928_SORT_LWRP,2022-02-09
2022-1,LM,LM_24_CARX_20220210_CS_864_870_SORT_LWRP,2022-02-10
2022-1,LM,LM_25_MADX_20220215_CS_898_902_SORT_LWRP,2022-02-15
2022-1,LM,LM_26_HIKX_20220216_CS_928_936_SORT_LWRP,2022-02-16
2022-1,LM,LM_19_MEMX_20220217_CS_738_SORT_LWRP,2022-02-17
2022-1,LM,LM_19_MEMX_20220302_CS_756_758_SORT_LWRP,2022-03-02
