,MileMarker,NAVD88_ft,LAT,LON
167,758,190.7,35.42365,-90.01457
168,759,190.9,35.43208,-90.00036
169,760,191.4,35.44598,-89.99688
170,761,192.0,35.46025,-89.99907
171,762,192.3,35.47432,-90.00364
172,763,192.51,35.48755,-90.01067
173,764,193.01,35.50206,-90.01206
174,765,193.2,35.51421,-90.00317
175,766,193.5,35.52127,-89.98791
176,767,194.61,35.52322,-89.97039
177,768,195.1,35.5213,-89.95285
178,769,195.2,35.51791,-89.93571
179,770,196.31,35.51302,-89.91926
180,771,196.8,35.51962,-89.90397
181,772,198.0,35.53352,-89.89974
182,773,199.5,35.54787,-89.90078
183,774,200.4,35.56196,-89.90436
184,775,200.7,35.57647,-89.90462
185,776,200.91,35.59099,-89.90331
186,777,201.31,35.60522,-89.90032
187,778,201.5,35.61781,-89.89174
188,779,201.6,35.62575,-89.87729
189,780,201.9,35.6378,-89.87743
190,781,202.5,35.64677,-89.89149
191,782,203.1,35.65269,-89.90742
192,783,203.61,35.6594,-89.92324
193,784,204.3,35.67017,-89.93441
194,785,205.21,35.68367,-89.94072
195,786,205.5,35.6978,-89.94394
196,787,206.0,35.71173,-89.93945
197,788,206.6,35.72209,-89.92744
198,789,207.7,35.72717,-89.91107
199,790,208.3,35.72854,-89.8934
200,791,208.71,35.73195,-89.87615
201,792,209.5,35.73748,-89.85961
202,793,210.0,35.7437,-89.84373
203,794,210.31,35.74818,-89.82665
204,795,210.41,35.75506,-89.81096
205,796,211.7,35.76359,-89.79652
206,797,212.1,35.77266,-89.78265
207,798,212.4,35.78172,-89.76867
208,799,213.0,35.79087,-89.75488
209,800,213.2,35.79824,-89.73965
210,801,213.2,35.80529,-89.72392
211,802,213.2,35.81295,-89.70903
212,803,213.6,35.82475,-89.69958
213,804,214.59,35.83762,-89.70663
214,805,214.7,35.84505,-89.72193
215,806,214.9,35.85072,-89.73827
216,807,215.2,35.8567,-89.75449
217,808,217.1,35.86619,-89.76733
218,809,217.9,35.88055,-89.76814
219,810,218.2,35.8939,-89.76173
220,811,218.3,35.90515,-89.75059
221,812,218.7,35.90964,-89.73432
222,813,219.0,35.90488,-89.71756
223,814,219.2,35.89757,-89.7023
224,815,219.4,35.88791,-89.68901
225,816,220.5,35.8788,-89.67501
226,817,221.4,35.87817,-89.65776
227,818,222.0,35.88818,-89.64545
228,819,222.1,35.90239,-89.64215
229,820,222.9,35.91709,-89.6434
230,821,223.8,35.92804,-89.65388
231,822,224.29,35.93596,-89.66881
232,823,224.38,35.94456,-89.68303
233,824,224.5,35.9531,-89.69747
234,825,224.7,35.96113,-89.71228
235,826,224.9,35.97291,-89.72188
236,827,225.2,35.98721,-89.7225
237,828,225.6,35.99961,-89.71395
238,829,225.9,36.01065,-89.7022
239,830,226.3,36.02219,-89.69138
240,831,226.8,36.036,-89.68735
241,832,227.6,36.05036,-89.68564
242,833,228.0,36.06459,-89.68225
243,834,228.3,36.07913,-89.68106
244,835,228.8,36.09249,-89.67476
245,836,229.3,36.10033,-89.66053
246,837,230.0,36.10215,-89.64291
247,838,230.4,36.10781,-89.62661
248,839,230.8,36.11553,-89.61161
249,840,231.3,36.12397,-89.59739
250,841,232.9,36.13784,-89.59353
251,842,234.4,36.15244,-89.59481
252,843,235.8,36.16492,-89.60334
253,844,236.8,36.17599,-89.61496
254,845,237.3,36.18505,-89.62885
255,846,237.6,36.19355,-89.64337
256,847,237.89,36.2029,-89.65702
257,848,237.9,36.21126,-89.67165
258,849,238.39,36.22107,-89.68473
259,850,238.4,36.23412,-89.68297
260,851,238.9,36.24355,-89.66955
261,852,239.0,36.25051,-89.65372
262,853,239.5,36.25242,-89.63635
263,854,239.8,36.24392,-89.62225
264,855,239.8,36.23898,-89.60596
265,856,239.8,36.24118,-89.58826
266,857,239.9,36.24731,-89.57203
267,858,239.9,36.25857,-89.56126
268,859,240.9,36.27271,-89.55911
269,860,241.1,36.28421,-89.56956
270,861,241.6,36.29264,-89.5843
271,862,241.7,36.30035,-89.5994
272,863,241.79,36.31094,-89.61163
273,864,241.9,36.3245,-89.61761
274,865,242.3,36.33936,-89.61462
275,866,242.8,36.34381,-89.59888
276,867,243.3,36.34323,-89.58099
277,868,243.81,36.33925,-89.56382
278,869,244.9,36.33535,-89.54656
279,870,245.8,36.3391,-89.52976
280,871,246.1,36.35041,-89.5186
281,872,246.2,36.36409,-89.51274
282,873,247.09,36.37833,-89.51066
283,874,247.59,36.39185,-89.51682
284,875,247.71,36.40362,-89.52721
285,876,247.8,36.41593,-89.53681
286,877,247.81,36.42893,-89.54465
287,878,247.9,36.44243,-89.5405
288,879,248.2,36.45211,-89.52717
289,880,248.79,36.46544,-89.5202
290,881,249.5,36.47949,-89.52197
291,882,250.4,36.4909,-89.53235
292,883,250.9,36.50275,-89.54328
293,884,251.1,36.51489,-89.55308
294,885,251.3,36.52808,-89.56033
295,886,252.2,36.54226,-89.56048
296,887,253.5,36.55509,-89.55212
297,888,254.0,36.56605,-89.54055
298,889,254.2,36.5735,-89.52509
299,890,254.4,36.57692,-89.50796
300,891,254.8,36.57328,-89.49054
301,892,255.0,36.5641,-89.47699
302,893,255.6,36.55193,-89.46737
303,894,256.1,36.53753,-89.46675
304,895,256.3,36.5239,-89.47217
305,896,256.6,36.51046,-89.47932
306,897,256.7,36.49693,-89.48563
307,898,256.8,36.48345,-89.49237
308,899,257.5,36.46948,-89.49327
309,900,259.1,36.46225,-89.47894
310,901,260.3,36.4622,-89.4618
311,902,261.11,36.46765,-89.44547
312,903,261.7,36.4767,-89.43131
313,904,262.1,36.48808,-89.42049
314,905,262.7,36.50153,-89.41401
315,906,263.1,36.51588,-89.41093
316,907,263.7,36.53006,-89.40689
317,908,263.8,36.54394,-89.40194
318,909,263.91,36.55788,-89.39703
319,910,264.0,36.57087,-89.38902
320,911,264.2,36.58415,-89.3827
321,911,264.2,36.57809,-89.37413
322,912,264.3,36.5983,-89.37933
323,912,264.3,36.57935,-89.35639
324,913,265.1,36.61275,-89.37734
325,913,265.1,36.59,-89.34564
326,914,265.6,36.62458,-89.36725
327,914,265.6,36.60083,-89.33332
328,915,266.4,36.63068,-89.35123
329,915,266.4,36.6041,-89.31647
330,916,266.8,36.63367,-89.33335
331,916,266.8,36.59634,-89.3018
332,917,266.87,36.62678,-89.31802
333,917,266.87,36.58573,-89.28954
334,918,266.9,36.61411,-89.30857
335,918,266.9,36.57529,-89.27708
336,919,267.0,36.56621,-89.26313
337,919,267.0,36.60067,-89.30174
338,920,267.2,36.56549,-89.24564
339,921,267.8,36.56897,-89.22807
340,922,267.91,36.57715,-89.21346
341,923,268.0,36.5907,-89.20795
342,924,268.11,36.60503,-89.20525
343,925,268.69,36.61893,-89.20005
344,926,269.2,36.63155,-89.19107
345,927,269.6,36.64338,-89.1807
346,928,269.91,36.65428,-89.16882
347,929,270.3,36.66586,-89.15781
348,930,271.3,36.67888,-89.15052
349,931,271.5,36.69353,-89.14981
350,931,271.5,36.69079,-89.14079
351,932,272.3,36.70691,-89.1565
352,932,272.3,36.70493,-89.1365
353,933,273.4,36.72103,-89.16069
354,933,273.4,36.71918,-89.13363
355,934,274.3,36.73329,-89.15234
356,934,274.3,36.73153,-89.12526
357,935,275.3,36.74206,-89.13813
358,935,275.3,36.74437,-89.1213
359,936,275.5,36.74984,-89.12346
360,937,275.5,36.76388,-89.11729
361,938,275.51,36.77802,-89.11824
362,939,275.69,36.79083,-89.12679
363,940,275.9,36.80364,-89.13513
364,941,276.2,36.81757,-89.14036
365,942,276.4,36.83189,-89.14185
366,943,276.5,36.84604,-89.13795
367,944,276.9,36.85937,-89.13076
368,945,277.1,36.87327,-89.12569
369,946,277.1,36.88721,-89.12037
370,947,277.5,36.9015,-89.11774
371,948,278.1,36.91558,-89.11341
372,949,278.5,36.92885,-89.10604
373,950,279.0,36.94252,-89.10041
374,951,279.0,36.95692,-89.09839
375,952,279.0,36.97078,-89.1033
376,953,279.2,36.98089,-89.11582
