,ID
134,UM_12_MVR_20140523_OT_5687_R
135,UM_SL_ILC_20140819_BD_1
136,UM_19_MVR_20180927_CS_40544064_18C
137,UM_SP_P04_20210928_CS_7830_7844
138,UM_11_MVR_20240518_OT_6092_R
139,UM_SL_ILC_20240916_BD_1
140,UM_13_MVR_20200625_CS_52805296_20D
141,UM_01_UM1_20220225_CS
142,UM_SP_P05_20190711_CS_7480_7490
143,UM_SP_P05_20190506_CS_7420_7430
144,UM_17_MVR_20140621_OT_43814386_R
145,UM_21_MVR_20020318_CS_32723280_02A
146,UM_SL_RRC_20140115_BD_2
147,UM_13_MVR_20210719_AD_53305335_21E
148,UM_11_MVR_20080605_CS_60916108_08A
149,UM_19_MVR_20191117_CS_36803700_19A
150,UM_SP_P08_20240401_CS_6890_6900
151,UM_SL_P25_20230621_BD_1
152,UM_22_MVR_20120516_CS_31203135_12A
153,UM_SL_ILC_20241212_BD_3
154,UM_SL_DIC_20201203_BD_1
155,UM_13_MVR_20140527_OT_53565358_R
156,UM_SP_P02_20151001_CS_8310_8324
157,UM_13_MVR_20071120_BD_53285335_07E
158,UM_SP_P05_20190710_CS_7440_7447
159,UM_SP_P04_20190905_BD_7622_7627
160,UM_SP_P06_20211013_AD_7189_7194
161,UM_SL_DIC_20230626_BD_2
162,UM_11_MVR_20140516_OT_6032_R
163,UM_SL_DIC_20200812_OT_1
164,UM_21_MVR_19970911_CS_33103325_97D
165,UM_17_MVR_19990608_CS_44704482_99A
166,UM_SP_P04_20220607_CS_7570_7580
167,UM_18_MVR_20240620_OT_4286_R
168,UM_SL_P26_20200615_OT_1
169,UM_22_MVR_20240710_OT_3216_L
170,UM_20_MVR_20210629_CS_34333450_21B
171,UM_20_MVR_20100501_CS_35383553_10A
172,UM_14_MVR_20240603_OT_5021_L
173,UM_18_MVR_20241001_CS_41444154_24D
174,UM_SP_P05_20200511_CS_7440_7450
175,UM_SL_ILC_20141212_BD_1
176,UM_19_MVR_19970813_CS_39703990_97A
177,UM_18_MVR_20140622_OT_4358_L
178,UM_18_MVR_20240620_OT_4284_R
179,UM_SL_MRC_20190314_OT_1
180,UM_20_MVR_20150817_BD_36073615_15B
181,UM_13_MVR_20140525_OT_5521_R
182,UM_12_MVR_20240326_CS_56755690_24A
183,UM_14_MVR_20070815_CS_50305042_07A
184,UM_21_MVR_19981027_CS_33403352_98A
185,UM_12_MVR_20240521_OT_5786_L
186,UM_18_MVR_20050315_CS_41734187_05A
187,UM_SP_P5A_20190905_CS_7310_7320
188,UM_SP_P07_20160415_CS_7030_7040
189,UM_SP_P10_20160422_CS_6420_6430
190,UM_20_MVR_20140904_OT_3610_L
191,UM_11_MVR_20240515_OT_5898_C
192,UM_SL_ILC_20131223_BD_3
193,UM_14_MVR_20160802_CS_50305042_16A
194,UM_13_MVR_19970514_CS_55385557_97A
195,UM_16_MVR_20240610_OT_4695_L
196,UM_17_MVR_20250226_CS_45614571_25A
197,UM_SP_P09_20150320_CS_6650_6660
198,UM_SL_GTC_20230627_BD_1
199,UM_SP_P04_20180514_CS_7560_7570
200,UM_SP_P10_20190618_CS_6200_6210
201,UM_SP_P04_20200902_CS_7580_7590
202,UM_11_MVR_20210412_CS_60846096_21A
203,UM_13_MVR_20020827_CS_53855395_02B
204,UM_18_MVR_20240630_OT_4234_R
205,UM_17_MVR_20140620_OT_4502_L
206,UM_SP_P04_20180514_CS_7540_7550
207,UM_SL_DIC_20210226_AD_2
208,UM_14_MVR_20120412_CS_51555170_12A
209,UM_SL_ILC_20200818_BD_1
