,MileMarker,thresh_el,LAT,LON
111,340.0,23.516417688386834,31.298713,-91.510104
112,341.0,23.689536213665797,31.313082,-91.508982
113,342.0,23.862654738944762,31.327403,-91.506849
114,343.0,24.035773264223725,31.341228,-91.500294
115,344.0,24.20889178950269,31.3546,-91.494587
116,345.0,24.382010314781652,31.364966,-91.483059
117,346.0,24.55512884006062,31.373776,-91.46937
118,347.0,24.72824736533958,31.387021,-91.463308
119,348.0,24.901365890618546,31.400412,-91.469198
120,349.0,25.07448441589751,31.410883,-91.480908
121,350.0,25.247602941176474,31.419584,-91.494169
122,351.0,25.420721466455436,31.429136,-91.506832
123,352.0,25.593839991734402,31.44132,-91.515588
124,353.0,25.766958517013364,31.455679,-91.5176
125,354.0,25.94007704229233,31.470463,-91.518506
126,355.0,26.113195567571292,31.484896,-91.517289
127,356.0,26.286314092850258,31.499369,-91.514994
128,357.0,26.459432618129224,31.513047,-91.50972
129,358.0,26.632551143408186,31.522269,-91.497139
130,359.0,26.805669668687152,31.529084,-91.482152
131,360.0,26.978788193966114,31.53421,-91.466441
132,361.0,27.15190671924508,31.539645,-91.450579
133,362.0,27.325025244524042,31.547694,-91.436407
134,363.0,27.498143769803008,31.556555,-91.42381
135,364.0,27.940800134740627,31.566304,-91.411355
136,365.0,28.210337974399284,31.579804,-91.405182
137,366.0,28.47987581405794,31.594123,-91.405235
138,367.0,28.749413653716598,31.608648,-91.404899
139,368.0,29.018951493375255,31.622941,-91.402147
140,369.0,29.288489333033912,31.637133,-91.398711
141,370.0,29.55802717269257,31.65161,-91.397566
142,371.0,29.827565012351226,31.66615,-91.399315
143,372.0,30.097102852009883,31.680569,-91.40061
144,373.0,30.36664069166854,31.69489,-91.401158
145,374.0,30.636178531327197,31.708883,-91.397123
146,375.0,30.905716370985854,31.721385,-91.38891
147,376.0,31.17525421064451,31.734004,-91.380144
148,377.0,31.44479205030317,31.746747,-91.371786
149,378.0,31.714329889961824,31.760299,-91.366252
150,379.0,31.983867729620485,31.77462,-91.363032
151,380.0,32.25340556927914,31.789172,-91.362289
152,381.0,32.5229434089378,31.803464,-91.358943
153,382.0,32.79248124859645,31.81753,-91.354106
154,383.0,33.06201908825511,31.831366,-91.349584
155,384.0,33.331556927913766,31.845231,-91.344424
156,385.0,33.60109476757243,31.853754,-91.330712
157,386.0,33.87063260723108,31.855868,-91.314289
158,387.0,34.14017044688974,31.856124,-91.297074
159,388.0,34.409708286548394,31.857204,-91.280148
160,389.0,34.679246126207055,31.86061,-91.263607
161,390.0,34.94878396586571,31.86655,-91.248102
162,391.0,35.21832180552437,31.874349,-91.234211
163,392.0,35.48785964518302,31.883476,-91.221735
164,393.0,35.75739748484168,31.893644,-91.209545
165,394.0,36.02693532450034,31.905984,-91.20057
166,395.0,36.296473164158996,31.919803,-91.19597
167,396.0,36.56601100381765,31.934212,-91.19306
168,397.0,36.83554884347631,31.948808,-91.190652
169,398.0,37.10508668313497,31.962978,-91.187624
170,399.0,37.374624522793624,31.97737,-91.177202
171,400.0,37.64416236245228,31.98244,-91.164076
172,401.0,37.91370020211094,31.983381,-91.146997
173,402.0,38.1832380417696,31.983428,-91.129916
174,403.0,38.45277588142825,31.984226,-91.112941
175,404.0,38.72231372108691,31.990008,-91.097669
176,405.0,38.991851560745566,32.000927,-91.08639
177,406.0,39.26138940040423,32.013034,-91.076983
178,407.0,39.53092724006288,32.026911,-91.073299
179,408.0,39.80046507972154,32.041319,-91.073953
180,409.0,40.070002919380194,32.055563,-91.077572
181,410.0,40.339540759038854,32.069767,-91.081091
182,411.0,40.60907859869751,32.083684,-91.085746
183,412.0,40.87861643835617,32.096429,-91.093672
184,413.0,41.14815427801482,32.108981,-91.102914
185,414.0,41.41769211767348,32.122711,-91.108378
186,415.0,41.687229957332136,32.136178,-91.103949
187,416.0,41.956767796990796,32.139726,-91.088174
188,417.0,42.22630563664945,32.132585,-91.073018
189,418.0,42.49584347630811,32.124926,-91.059091
