x,y,vessel_count
627820.4331893444,3427630.905745316,1
627820.4331893444,3428080.905745316,1
627820.4331893444,3428305.905745316,1
627820.4331893444,3428455.905745316,2
627820.4331893444,3428530.905745316,6
627820.4331893444,3428605.905745316,22
627820.4331893444,3428680.905745316,80
627820.4331893444,3428755.905745316,133
627820.4331893444,3428830.905745316,168
627820.4331893444,3428905.905745316,182
627820.4331893444,3428980.905745316,136
627820.4331893444,3429055.905745316,72
627820.4331893444,3429130.905745316,40
627820.4331893444,3429205.905745316,45
627820.4331893444,3429280.905745316,18
627820.4331893444,3429355.905745316,1
627895.4331893444,3424405.905745316,4
627895.4331893444,3424480.905745316,6
627895.4331893444,3424555.905745316,11
627895.4331893444,3424630.905745316,12
627895.4331893444,3424705.905745316,22
627895.4331893444,3424780.905745316,31
627895.4331893444,3424855.905745316,45
627895.4331893444,3424930.905745316,79
627895.4331893444,3425005.905745316,92
627895.4331893444,3425080.905745316,111
627895.4331893444,3425155.905745316,134
627895.4331893444,3425230.905745316,126
627895.4331893444,3425305.905745316,97
627895.4331893444,3425380.905745316,103
627895.4331893444,3425455.905745316,111
627895.4331893444,3425530.905745316,80
627895.4331893444,3425605.905745316,56
627895.4331893444,3425680.905745316,33
627895.4331893444,3425755.905745316,31
627895.4331893444,3425830.905745316,22
627895.4331893444,3425905.905745316,18
627895.4331893444,3425980.905745316,12
627895.4331893444,3426055.905745316,19
627895.4331893444,3426130.905745316,15
627895.4331893444,3426205.905745316,6
627895.4331893444,3426280.905745316,6
627895.4331893444,3426355.905745316,6
627895.4331893444,3426430.905745316,3
627895.4331893444,3426505.905745316,5
627895.4331893444,3426580.905745316,3
627895.4331893444,3426655.905745316,7
627895.4331893444,3426730.905745316,3
627895.4331893444,3426805.905745316,5
627895.4331893444,3426880.905745316,13
627895.4331893444,3426955.905745316,13
627895.4331893444,3427030.905745316,12
627895.4331893444,3427105.905745316,5
627895.4331893444,3427180.905745316,14
627895.4331893444,3427255.905745316,12
627895.4331893444,3427330.905745316,7
627895.4331893444,3427405.905745316,4
627895.4331893444,3428530.905745316,1
627895.4331893444,3428605.905745316,1
627895.4331893444,3428680.905745316,2
627895.4331893444,3428755.905745316,26
627895.4331893444,3428830.905745316,80
627895.4331893444,3428905.905745316,124
627895.4331893444,3428980.905745316,183
627895.4331893444,3429055.905745316,164
627895.4331893444,3429130.905745316,99
627895.4331893444,3429205.905745316,48
627895.4331893444,3429280.905745316,52
