file,flipped_at
LM_12_EYB_20150501_CS_5592_5636,2026-09-21T20:51:39.948226+00:00
LM_12_EYB_20150502_CS_5550_5590,2026-09-21T20:51:39.948226+00:00
LM_12_EYB_20150503_CS_5502_5548,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150501_CS_5446_5490,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150502_CS_5406_5444,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150503_CS_5382_5404,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150504_CS_5368_5380,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150610_CS_MB_5367_5368,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150611_CS_MB_5363_5368,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150612_CS_MB_5358_5363,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150613_CS_MB_5353_5358,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150614_CS_MB_5348_5353,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150616_CS_MB_5343_5348,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150617_CS_MB_5338_5343,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150625_CS_MB_5333_5338,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150626_CS_MB_5328_5333,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150627_CS_MB_5323_5328,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150629_CS_MB_5318_5323,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150630_CS_MB_5313_5318,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150630_CS_MB_5308_5313,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150701_CS_MB_5303_5308,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150701_CS_MB_5298_5303,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150702_CS_MB_5293_5298,2026-09-21T20:51:39.948226+00:00
LM_11_YBS_20150702_CS_MB_5290_5293,2026-09-21T20:51:39.948226+00:00
LM_10_SSL_20150517_CS_5278_5290,2026-09-21T20:51:39.948226+00:00
LM_10_SSL_20150518_CS_5270_5276,2026-09-21T20:51:39.948226+00:00
LM_10_SSL_20150519_CS_5234_5268,2026-09-21T20:51:39.948226+00:00
LM_09_LPM_20150604_CS_5226_5234,2026-09-21T20:51:39.948226+00:00
LM_09_LPM_20150605_CS_5194_5224,2026-09-21T20:51:39.948226+00:00
LM_09_LPM_20150610_CS_5172_5194,2026-09-21T20:51:39.948226+00:00
LM_09_LPM_20150611_CS_5140_5170,2026-09-21T20:51:39.948226+00:00
LM_09_LPM_20150612_CS_5114_5142,2026-09-21T20:51:39.948226+00:00
LM_09_LPM_20150613_CS_5072_5112,2026-09-21T20:51:39.948226+00:00
LM_09_LPM_20150614_CS_5034_5070,2026-09-21T20:51:39.948226+00:00
LM_09_LPM_20150615_CS_4992_5032,2026-09-21T20:51:39.948226+00:00
LM_09_LPM_20150616_CS_4958_4990,2026-09-21T20:51:39.948226+00:00
LM_08_MVF_20150626_CS_4918_4958,2026-09-21T20:51:39.948226+00:00
LM_08_MVF_20150627_CS_4890_4916,2026-09-21T20:51:39.948226+00:00
LM_08_MVF_20150718_CS_4876_4888,2026-09-21T20:51:39.948226+00:00
LM_08_MVF_20150719_CS_4838_4874,2026-09-21T20:51:39.948226+00:00
LM_08_MVF_20150720_CS_4824_4888,2026-09-21T20:51:39.948226+00:00
LM_08_MVF_20150722_CS_4786_4822,2026-09-21T20:51:39.948226+00:00
LM_07_FMB_20150723_CS_4720_4778,2026-09-21T20:51:39.948226+00:00
LM_07_FMB_20150708_CS_MB_4718_4723,2026-09-21T20:51:39.948226+00:00
LM_07_FMB_20150709_CS_MB_4713_4718,2026-09-21T20:51:39.948226+00:00
LM_07_FMB_20150709_CS_MB_4708_4713,2026-09-21T20:51:39.948226+00:00
LM_07_FMB_20150715_CS_MB_4698_4703,2026-09-21T20:51:39.948226+00:00
LM_07_FMB_20150716_CS_MB_4693_4698,2026-09-21T20:51:39.948226+00:00
LM_07_FMB_20150723_CS_MB_4683_4688,2026-09-21T20:51:39.948226+00:00
LM_07_FMB_20150724_CS_MB_4688_4693,2026-09-21T20:51:39.948226+00:00
LM_07_FMB_20150726_CS_MB_4678_4683,2026-09-21T20:51:39.948226+00:00
LM_07_FMB_20150727_CS_MB_4673_4678,2026-09-21T20:51:39.948226+00:00
LM_07_FMB_20150724_CS_4668_4676,2026-09-21T20:51:39.948226+00:00
LM_07_FMB_20150727_CS_4646_4666,2026-09-21T20:51:39.948226+00:00
LM_07_FMB_20150729_CS_4594_4644,2026-09-21T20:51:39.948226+00:00
LM_07_FMB_20150730_CS_4546_4592,2026-09-21T20:51:39.948226+00:00
LM_07_FMB_20150801_CS_4530_4544,2026-09-21T20:51:39.948226+00:00
LM_06_MBV_20150729_CS_4510_4530,2026-09-21T20:51:39.948226+00:00
LM_06_MBV_20150730_CS_4480_4508,2026-09-21T20:51:39.948226+00:00
LM_06_MBV_20150803_CS_4450_4478,2026-09-21T20:51:39.948226+00:00
LM_06_MBV_20150804_CS_4414_4448,2026-09-21T20:51:39.948226+00:00
LM_06_MBV_20150808_CS_MB_4412_4417,2026-09-21T20:51:39.948226+00:00
LM_06_MBV_20150808_CS_MB_4408_4412,2026-09-21T20:51:39.948226+00:00
LM_06_MBV_20150809_CS_MB_4402_4407,2026-09-21T20:51:39.948226+00:00
LM_06_MBV_20150809_CS_MB_4397_4402,2026-09-21T20:51:39.948226+00:00
LM_06_MBV_20150810_CS_MB_4392_4397,2026-09-21T20:51:39.948226+00:00
LM_06_MBV_20150811_CS_MB_4387_4392,2026-09-21T20:51:39.948226+00:00
LM_06_MBV_20150812_CS_MB_4382_4387,2026-09-21T20:51:39.948226+00:00
LM_06_MBV_20150813_CS_MB_4377_4382,2026-09-21T20:51:39.948226+00:00
LM_06_MBV_20150813_CS_MB_4372_4377,2026-09-21T20:51:39.948226+00:00
