survey_id,year,date,lat,lon
LM_04_GGK_20160817_CS_4018_4058,2016,2016-08-17,31.99612171735095,-91.1037519095921
LM_01_GCB_20190605_CS_3404_3454,2019,2019-06-05,31.337528893350065,-91.49381587523258
LM_26_HIK_20150315_CS_9532_9545_SORT,2015,2015-03-15,36.98528225266196,-89.12957505486729
LM_11_YBS_20150616_CS_MB_5343_5348,2015,2015-06-16,33.33528012195108,-91.16417860299781
LM_12_EYB_20190227_CS_5590_5638,2019,2019-02-27,33.60499589737284,-91.14822417641587
LM_08_MVF_20180817_CS_MB_4860_4865,2018,2018-08-17,32.78712210556871,-91.15555805262028
LM_10_SSL_20180530_CS_5234_5368,2018,2018-05-30,33.323665038546,-91.1574943549904
LM_08_MVF_20180730_CS_MB_4895_4900,2018,2018-07-30,32.83477957504723,-91.14025516096699
LM_11_YBS_20150702_CS_MB_5290_5293,2015,2015-07-02,33.27014368378002,-91.13372197061437
LM_15_CVB_20180807_CS_MB_5938_5942,2018,2018-08-07,33.9137612562508,-91.02202644935748
LM_02_GCG_20150906_CS_3454_3504,2015,2015-09-06,31.39576973777313,-91.48047395758078
LM_08_MVF_20190502_CS_MB_4930_4935,2019,2019-05-02,32.867556484123206,-91.09339693492788
LM_06_MBV_20180816_CS_MB_4345_4350,2018,2018-08-16,32.306697161705074,-90.91243785769191
LM_08_MVF_20190525_CS_MB_4880_4885,2019,2019-05-25,32.8144340260738,-91.14323888708458
LM_07_FMB_20180707_CS_4530_4784,2018,2018-07-07,32.560967301895914,-91.11110829221462
