survey_id,year,date,lat,lon
LM_11_YBS_20190306_CS_5492_5502,2019,2019-03-06,33.511612885984555,-91.18623325922124
LM_10_SSL_20200717_CS_5245_5265_SPECIAL,2020,2020-07-17,33.224056365468186,-91.1037620324767
LM_07_FMB_20170713_CS_MB_46825_46875,2017,2017-07-13,32.64685337121044,-91.14985965768308
LM_14_VBO_20200502_CS_5820_5864,2020,2020-05-02,33.79250654625182,-91.05493021762462
LM_19_MEM_20150412_CS_7440_7506_SORT,2015,2015-04-12,35.298442099798095,-90.09876700419849
LM_07_FMB_20180812_CS_MB_4695_4700,2018,2018-08-12,32.666386604956095,-91.15242712926369
LM_15_CVB_20160514_CS_6000_6028,2016,2016-05-14,33.98092402704072,-91.07112155269583
LM_12_EYB_20170516_CS,2017,2017-05-16,33.58812516803323,-91.1562811119773
LM_07_FMB_20190622_CS_MB_4715_4720,2019,2019-06-22,32.67142532540197,-91.10829207965277
LM_12_EYB_20160614_CS_5646_5658,2016,2016-06-14,33.643647056323054,-91.1680999786915
LM_06_MBV_20190708_CS_MB_4395_4400,2019,2019-07-08,32.34192920724487,-90.94540870087695
LM_09_LPM_20190727_CS_5048_5082,2019,2019-07-27,32.997888421719274,-91.16067390814737
LM_14_VBO_20160601_CS_5810_5850,2016,2016-06-01,33.78547266152458,-91.06403004487404
LM_10_SSL_20150518_CS_5270_5276,2015,2015-05-18,33.251895925362845,-91.10638924424617
LM_12_EYB_20200512_CS_5584_5592,2020,2020-05-12,33.58116400772361,-91.1629452573735
LM_01_GCB_20150907_CS_3200_3224,2015,2015-09-07,31.161149510769757,-91.60109841658348
LM_05_VGG_20190502_CS_4076_4100,2019,2019-05-02,32.05539164866207,-91.07081876933233
LM_11_YBS_20150701_CS_MB_5303_5308,2015,2015-07-01,33.28426582686049,-91.15071789250844
