survey_id,year,date,lat,lon
LM_12_EYB_20160624_CS_5520_5574,2016,2016-06-24,33.552160973964256,-91.20889214137641
LM_15_CVB_20150409_CS_6082_6104,2015,2015-04-09,34.02014000308351,-90.94772404532533
LM_15_CVB_20170421_CS,2017,2017-04-21,34.01307765849091,-90.98745444613391
LM_08_MVF_20170711_CS,2017,2017-07-11,32.79120332524094,-91.10848688277972
LM_09_LPM_20170709_CS,2017,2017-07-09,32.90105774505754,-91.07205866212182
LM_15_CVB_20160429_CS_MB_5958_5963,2016,2016-04-29,33.94054212711044,-91.0273618238111
LM_09_LPM_20180611_CS_4958_5234,2018,2018-06-11,32.96393537464112,-91.15414225471132
LM_08_MVF_20180629_CS_4786_4958,2018,2018-06-29,32.786180722025435,-91.10853030992966
LM_13_OZE_20180502_CS_5810_5796,2018,2018-05-02,33.690913350550325,-91.21087912589486
LM_11_YBS_20160706_CS_MB_5298_5303,2016,2016-07-06,33.27823550298486,-91.14434433243558
LM_06_MBV_20170721_CS_MB_43675_43725,2017,2017-07-21,32.33159787458051,-90.90498100374535
LM_07_FMB_20150716_CS_MB_4693_4698,2015,2015-07-16,32.659488627067034,-91.14679300126821
LM_04_GGK_20190513_CS_3950_3990,2019,2019-05-13,31.94808471835908,-91.18774209826135
LM_06_MBV_20170718_CS_MB_43975_44025,2017,2017-07-18,32.34188869152079,-90.94561033567373
LM_05_VGG_20170807_CS,2017,2017-08-07,32.117870824106824,-91.0985230179454
LM_15_CVB_20200716_CS_5940_5970_SPECIAL,2020,2020-07-16,33.93167679475793,-91.02605930989651
LM_02_GCG_20160830_CS_3584_3636,2016,2016-08-30,31.541812051420624,-91.453744153912
