ahp_mile,navd88_ft
923.4,268.01
923.3,268.01
923.2,268.01
923.1,268.01
923.0,268.0
922.9,268.0
922.8,268.0
922.7,268.0
922.6,267.91
922.5,267.91
922.4,267.91
922.3,267.91
922.2,267.91
922.1,267.91
922.0,267.91
921.9,267.9
921.8,267.9
921.7,267.9
921.6,267.9
921.5,267.9
921.4,267.9
921.3,267.9
921.2,267.9
921.1,267.8
921.0,267.8
920.9,267.8
920.8,267.7
920.7,267.6
920.6,267.4
920.5,267.2
920.4,267.2
920.3,267.2
920.2,267.2
920.1,267.2
920.0,267.2
919.9,267.2
919.8,267.2
919.7,267.2
919.6,267.2
919.5,267.2
919.4,267.2
919.3,267.19
919.2,267.19
919.1,267.1
919.0,267.0
918.9,267.0
918.8,266.9
918.7,266.9
918.6,266.9
918.5,266.9
918.4,266.9
918.3,266.9
918.2,266.9
918.1,266.9
918.0,266.9
917.9,266.9
917.8,266.9
917.7,266.9
917.6,266.9
917.5,266.9
917.4,266.9
917.3,266.9
917.2,266.9
917.1,266.9
917.0,266.87
916.9,266.8
916.8,266.8
916.7,266.8
916.6,266.8
916.5,266.8
916.4,266.8
916.3,266.8
916.2,266.8
916.1,266.8
916.0,266.8
915.9,266.8
915.8,266.8
915.7,266.7
915.6,266.7
915.5,266.6
915.4,266.6
915.3,266.5
915.2,266.5
915.1,266.5
915.0,266.4
914.9,266.2
914.8,266.1
914.7,266.1
914.6,266.1
914.5,266.1
914.4,266.0
914.3,265.9
914.2,265.9
914.1,265.6
914.0,265.6
913.9,265.6
913.8,265.6
913.7,265.5
913.6,265.5
913.5,265.3
913.4,265.3
913.3,265.2
913.2,265.2
913.1,265.19
913.0,265.1
912.9,264.9
912.8,264.8
912.7,264.8
912.6,264.7
912.5,264.7
912.4,264.7
912.3,264.6
912.2,264.4
912.1,264.3
912.0,264.3
911.9,264.2
911.8,264.2
911.7,264.2
911.6,264.2
911.5,264.2
911.4,264.2
911.3,264.2
911.2,264.2
911.1,264.2
911.0,264.2
910.9,264.1
910.8,264.1
910.7,264.1
910.6,264.1
910.5,264.0
910.4,264.0
910.3,264.0
910.2,264.0
910.1,264.0
910.0,264.0
909.9,264.0
909.8,264.0
909.7,264.0
909.6,263.99
909.5,263.99
909.4,263.99
909.3,263.95
909.2,263.91
909.1,263.91
909.0,263.91
908.9,263.9
908.8,263.9
908.7,263.9
908.6,263.86
908.5,263.86
908.4,263.86
908.3,263.86
908.2,263.86
908.1,263.8
908.0,263.8
907.9,263.8
907.8,263.8
907.7,263.8
907.6,263.8
907.5,263.8
907.4,263.7
907.3,263.7
907.2,263.7
907.1,263.7
907.0,263.7
906.9,263.6
906.8,263.6
906.7,263.6
906.6,263.4
906.5,263.4
906.4,263.4
906.3,263.2
906.2,263.2
906.1,263.1
906.0,263.1
905.9,263.0
905.8,263.0
905.7,262.8
905.6,262.8
905.5,262.7
905.4,262.7
905.3,262.7
905.2,262.7
905.1,262.7
905.0,262.7
904.9,262.7
904.8,262.7
904.7,262.69
904.6,262.69
904.5,262.11
904.4,262.11
904.3,262.1
904.2,262.1
904.1,262.1
904.0,262.1
903.9,262.0
903.8,261.81
903.7,261.81
903.6,261.81
903.5,261.8
903.4,261.8
903.3,261.8
903.2,261.7
903.1,261.7
903.0,261.7
902.9,261.69
902.8,261.6
902.7,261.6
902.6,261.59
902.5,261.41
902.4,261.4
902.3,261.4
902.2,261.31
902.1,261.3
902.0,261.11
901.9,261.11
901.8,261.1
901.7,260.91
901.6,260.91
901.5,260.81
901.4,260.71
901.3,260.61
901.2,260.5
901.1,260.5
901.0,260.3
900.9,260.3
900.8,260.2
900.7,259.9
900.6,259.9
900.5,259.9
900.4,259.61
900.3,259.61
900.2,259.6
900.1,259.2
900.0,259.1
899.9,258.71
899.8,258.41
899.7,258.4
899.6,258.4
899.5,258.2
899.4,258.2
899.3,258.1
899.2,257.9
899.1,257.7
899.0,257.5
898.9,257.3
898.8,257.3
898.7,257.1
898.6,257.1
898.5,257.0
898.4,256.8
898.3,256.8
898.2,256.8
898.1,256.8
898.0,256.8
897.9,256.8
897.8,256.8
897.7,256.7
897.6,256.7
897.5,256.7
897.4,256.7
897.3,256.7
897.2,256.7
897.1,256.7
897.0,256.7
896.9,256.7
896.8,256.7
896.7,256.7
896.6,256.7
896.5,256.7
896.4,256.7
896.3,256.7
896.2,256.7
896.1,256.7
896.0,256.6
895.9,256.6
895.8,256.51
895.7,256.41
895.6,256.41
895.5,256.41
895.4,256.41
895.3,256.41
895.2,256.31
895.1,256.3
895.0,256.3
894.9,256.3
894.8,256.3
894.7,256.3
894.6,256.3
894.5,256.3
894.4,256.3
894.3,256.3
894.2,256.21
894.1,256.21
894.0,256.1
893.9,256.1
893.8,256.1
893.7,256.0
893.6,255.9
893.5,255.9
893.4,255.81
893.3,255.8
893.2,255.6
893.1,255.6
893.0,255.6
892.9,255.41
892.8,255.3
892.7,255.1
892.6,255.0
892.5,255.01
892.4,255.0
892.3,255.0
892.2,255.0
892.1,255.0
892.0,255.0
891.9,255.0
891.8,255.0
891.7,255.0
891.6,254.9
891.5,254.9
891.4,254.9
891.3,254.9
891.2,254.8
891.1,254.8
891.0,254.8
890.9,254.8
890.8,254.7
890.7,254.6
890.6,254.6
890.5,254.6
890.4,254.5
890.3,254.5
890.2,254.5
890.1,254.4
890.0,254.4
889.9,254.4
889.8,254.3
889.7,254.3
889.6,254.3
889.5,254.3
889.4,254.3
889.3,254.3
889.2,254.2
889.1,254.2
889.0,254.2
888.9,254.1
888.8,254.1
888.7,254.1
888.6,254.1
888.5,254.1
888.4,254.1
888.3,254.1
888.2,254.0
888.1,254.0
888.0,254.0
887.9,253.9
887.8,253.9
887.7,253.8
887.6,253.6
887.5,253.6
887.4,253.5
887.3,253.5
887.2,253.5
887.1,253.5
887.0,253.5
886.9,253.5
886.8,253.4
886.7,253.3
886.6,253.2
886.5,253.2
886.4,253.0
886.3,252.7
886.2,252.4
886.1,252.3
886.0,252.2
885.9,252.0
885.8,251.5
885.7,251.5
885.6,251.5
885.5,251.4
885.4,251.3
885.3,251.3
885.2,251.3
885.1,251.3
885.0,251.3
884.9,251.2
884.8,251.2
884.7,251.2
884.6,251.2
884.5,251.2
884.4,251.1
884.3,251.1
884.2,251.1
884.1,251.1
884.0,251.1
883.9,251.1
883.8,251.1
883.7,251.01
883.6,251.01
883.5,251.01
883.4,251.0
883.3,251.0
883.2,251.0
883.1,250.9
883.0,250.9
882.9,250.9
882.8,250.9
882.7,250.8
882.6,250.7
882.5,250.7
882.4,250.61
882.3,250.6
882.2,250.6
882.1,250.4
882.0,250.4
881.9,250.21
881.8,250.1
881.7,250.1
881.6,250.0
881.5,249.91
881.4,249.8
881.3,249.62
881.2,249.61
881.1,249.6
881.0,249.5
880.9,249.4
880.8,249.3
880.7,249.1
880.6,249.1
880.5,249.0
880.4,249.0
880.3,248.8
880.2,248.8
880.1,248.8
880.0,248.79
879.9,248.5
879.8,248.5
879.7,248.3
879.6,248.3
879.5,248.3
879.4,248.3
879.3,248.3
879.2,248.2
879.1,248.2
879.0,248.2
878.9,248.2
878.8,248.2
878.7,248.2
878.6,248.0
878.5,248.0
878.4,248.0
878.3,248.0
878.2,248.0
878.1,247.9
878.0,247.9
877.9,247.9
877.8,247.9
877.7,247.9
877.6,247.9
877.5,247.9
877.4,247.9
877.3,247.9
877.2,247.9
877.1,247.9
877.0,247.81
876.9,247.81
876.8,247.81
876.7,247.81
876.6,247.81
876.5,247.81
876.4,247.81
876.3,247.81
876.2,247.81
876.1,247.8
876.0,247.8
875.9,247.8
875.8,247.8
875.7,247.8
875.6,247.8
875.5,247.8
875.4,247.71
875.3,247.71
875.2,247.71
875.1,247.71
875.0,247.71
874.9,247.71
874.8,247.7
874.7,247.7
874.6,247.7
874.5,247.7
874.4,247.7
874.3,247.69
874.2,247.69
874.1,247.6
874.0,247.59
873.9,247.5
873.8,247.5
873.7,247.41
873.6,247.4
873.5,247.4
873.4,247.2
873.3,247.2
873.2,247.1
873.1,247.1
873.0,247.09
872.9,247.09
872.8,246.9
872.7,246.8
872.6,246.6
872.5,246.4
872.4,246.3
872.3,246.2
872.2,246.2
872.1,246.2
872.0,246.2
871.9,246.2
871.8,246.1
871.7,246.1
871.6,246.1
871.5,246.1
871.4,246.1
871.3,246.1
871.2,246.1
871.1,246.1
871.0,246.1
870.9,246.1
870.8,246.0
870.7,245.8
870.6,245.8
870.5,245.8
870.4,245.8
870.3,245.8
870.2,245.8
870.1,245.8
870.0,245.8
869.9,245.6
869.8,245.6
869.7,245.6
869.6,245.5
869.5,245.3
869.4,245.3
869.3,245.2
869.2,245.1
869.1,245.0
869.0,244.9
868.9,244.6
868.8,244.5
868.7,244.4
868.6,244.2
868.5,244.2
868.4,244.0
868.3,243.9
868.2,243.9
868.1,243.81
868.0,243.81
867.9,243.7
867.8,243.7
867.7,243.7
867.6,243.6
867.5,243.51
867.4,243.51
867.3,243.41
867.2,243.4
867.1,243.3
867.0,243.3
866.9,243.2
866.8,243.0
866.7,243.0
866.6,242.91
866.5,242.91
866.4,242.91
866.3,242.8
866.2,242.8
866.1,242.8
866.0,242.8
865.9,242.8
865.8,242.8
865.7,242.7
865.6,242.7
865.5,242.7
865.4,242.7
865.3,242.7
865.2,242.5
865.1,242.4
865.0,242.3
