CityName,LAT,LON,MileMarker,thresh_el,r2,n_obs
stlouis,38.629,-90.17977778,1132.6,379.58,1.0,9411.0
chester,37.90075,-89.83022222,1062.9,343.8875643464963,0.9874,9314.0
capegir,37.30415121,-89.51748175,1005.1,314.9990725635863,0.9496,6720.0
wickliffe,36.948901,-89.096166,950.5,280.15498110770665,0.9472,3998.0
hickman,36.569671,-89.205701,922.0,269.3142075856337,0.9483,9302.0
newmadrid,36.5809,-89.547454,889.0,256.31970204395276,0.9546,9305.0
tipton,36.412438,-89.537728,875.8,249.0713345716954,0.9585,8870.0
caruthers,36.194131,-89.652723,846.4,240.24562907593392,0.8638,9284.0
osceola,35.656894,-89.9277,783.5,204.53902970924386,0.9782,9297.0
memphis,35.123024,-90.077404,734.4,179.03,1.0,9325.0
mhoonl,34.740777,-90.445145,687.5,154.5080616326769,0.9791,2731.0
helena,34.51667,-90.58417,663.1,142.5304446065104,0.9852,9178.0
friarsp,34.38378889,-90.62428333,652.5,138.6813502669133,0.9758,3993.0
rosedale,33.82111389,-91.02166111,584.5,105.25865036278604,0.9467,1890.0
arkcity,33.551509,-91.238365,554.1,98.2599639632135,0.9237,9164.0
greenville,33.2854,-91.15632222,531.3,87.01008195038858,0.8996,9164.0
lakeprov,32.75565556,-91.17109444,483.0,73.96806986330571,0.6293,3213.0
vicksburg,32.311832,-90.902332,435.4,52.83712700621997,0.8564,9233.0
natchez,31.544017,-91.433412,363.3,32.47367692435799,0.8063,9157.0
batonrouge,30.42916667,-91.20694444,228.4,6.217593576723742,0.7525,8913.0
