MileMarker,thresh_el,LAT,LON
229.0,0.827722461564921,30.436121,-91.196946
230.0,1.017631122003003,30.450585,-91.196099
231.0,1.207539782441085,30.464932,-91.197011
232.0,1.397448442879167,30.479417,-91.196847
233.0,1.5873571033172489,30.494187,-91.19693
234.0,1.7772657637553309,30.508613,-91.197959
235.0,1.9671744241934128,30.521159,-91.205158
236.0,2.157083084631495,30.51867,-91.22099
237.0,2.3469917450695768,30.5135,-91.23675
238.0,2.5369004055076587,30.50819,-91.25247
239.0,2.7268090659457407,30.5041,-91.26855
240.0,2.916717726383819,30.5075,-91.28433
241.0,3.1066263868219046,30.51918,-91.27857
242.0,3.2965350472599866,30.52612,-91.26367
243.0,3.486443707698065,30.53326,-91.24896
244.0,3.6763523681361505,30.54495,-91.23944
245.0,3.8662610285742325,30.55876,-91.24307
246.0,4.056169689012311,30.56812,-91.25584
247.0,4.246078349450396,30.57258,-91.27139
248.0,4.435987009888478,30.57211,-91.28807
249.0,4.625895670326557,30.57229,-91.30481
250.0,4.815804330764639,30.58006,-91.31739
251.0,5.005712991202721,30.5945,-91.3149
252.0,5.195621651640803,30.60542,-91.30396
253.0,5.385530312078885,30.61865,-91.29554
254.0,5.575438972516967,30.63376,-91.29215
255.0,5.765347632955049,30.64786,-91.29795
256.0,5.955256293393131,30.65388,-91.31214
257.0,6.1451649538312125,30.65639,-91.32784
258.0,6.3350736142692945,30.66477,-91.34011
259.0,6.5249822747073765,30.67905,-91.34297
260.0,6.714890935145458,30.69315,-91.34685
261.0,6.90479959558354,30.70758,-91.34982
262.0,7.094708256021622,30.72167,-91.35363
263.0,7.284616916459701,30.73521,-91.35911
264.0,7.474525576897786,30.74814,-91.36704
265.0,7.664434237335868,30.75757,-91.37992
266.0,7.854342897773947,30.75763,-91.39644
267.0,8.044251558212029,30.75148,-91.41165
268.0,8.234160218650114,30.74397,-91.42604
269.0,8.424068879088193,30.73757,-91.44128
270.0,8.613977539526275,30.73612,-91.45764
271.0,8.80388619996436,30.74273,-91.47267
272.0,8.993794860402438,30.74518,-91.48894
273.0,9.18370352084052,30.74322,-91.50547
274.0,9.373612181278606,30.73794,-91.52124
275.0,9.563520841716684,30.73252,-91.53683
276.0,9.753429502154766,30.73063,-91.55326
277.0,9.943338162592848,30.73453,-91.56946
278.0,10.13324682303093,30.74245,-91.58373
279.0,10.323155483469012,30.7526,-91.59534
280.0,10.513064143907092,30.76643,-91.59532
281.0,10.702972804345176,30.77386,-91.58116
282.0,10.892881464783258,30.77671,-91.5646
283.0,11.082790125221338,30.78188,-91.54934
284.0,11.272698785659422,30.79322,-91.53913
285.0,11.462607446097504,30.80731,-91.53424
286.0,11.652516106535584,30.82135,-91.52994
287.0,11.842424766973666,30.83501,-91.52436
288.0,12.03233342741175,30.84915,-91.51914
289.0,12.22224208784983,30.86287,-91.51531
290.0,12.41215074828791,30.87728,-91.51634
291.0,12.602059408725994,30.89135,-91.5208
292.0,12.791968069164076,30.90383,-91.52934
293.0,12.981876729602156,30.91314,-91.54219
294.0,13.171785390040238,30.91838,-91.55789
295.0,13.361694050478322,30.91646,-91.57473
296.0,13.551602710916402,30.91513,-91.59175
297.0,13.741511371354484,30.91631,-91.60866
298.0,13.931420031792566,30.91933,-91.62505
299.0,14.121328692230648,30.92637,-91.63962
300.0,14.31123735266873,30.93777,-91.65008
301.0,14.501146013106812,30.950393,-91.656845
302.0,14.691054673544894,30.96388,-91.66195
303.0,14.880963333982974,30.97835,-91.66353
304.0,15.070871994421058,30.99141,-91.65809
305.0,15.260780654859138,30.99836,-91.6433
306.0,15.45068931529722,31.00439,-91.62804
307.0,15.640597975735304,31.00918,-91.61197
308.0,15.830506636173384,31.01463,-91.59626
309.0,16.020415296611468,31.02168,-91.58146
310.0,16.210323957049546,31.03182,-91.56941
311.0,16.40023261748763,31.04522,-91.56196
312.0,16.59014127792571,31.05909,-91.56014
313.0,16.780049938363796,31.0708,-91.56977
314.0,16.969958598801874,31.08077,-91.58207
315.0,17.159867259239956,31.09041,-91.59472
316.0,17.349775919678038,31.10017,-91.60732
317.0,17.539684580116123,31.10864,-91.62009
318.0,17.729593240554202,31.12213,-91.62627
319.0,17.919501900992284,31.13619,-91.62172
320.0,18.109410561430366,31.14721,-91.6109
321.0,18.299319221868448,31.15779,-91.59928
322.0,18.48922788230653,31.17088,-91.59192
323.0,18.67913654274461,31.18492,-91.58837
324.0,18.869045203182694,31.19882,-91.59231
325.0,19.058953863620776,31.21013,-91.603118
326.0,19.248862524058858,31.219428,-91.615412
327.0,19.43877118449694,31.227533,-91.629266
328.0,19.62867984493502,31.234903,-91.643866
329.0,19.818588505373103,31.246679,-91.653244
330.0,20.008497165811185,31.260368,-91.650288
331.0,20.198405826249264,31.267978,-91.636282
332.0,20.38831448668735,31.267491,-91.619632
333.0,20.578223147125428,31.264484,-91.60384
334.0,20.76813180756351,31.261949,-91.587268
335.0,20.95804046800159,31.261363,-91.570349
336.0,21.147949128439677,31.262458,-91.55359
337.0,21.337857788877756,31.265166,-91.537161
338.0,21.527766449315838,31.271905,-91.522406
339.0,21.71767510975392,31.284309,-91.513941
340.0,21.907583770192,31.298713,-91.510104
341.0,22.097492430630084,31.313082,-91.508982
342.0,22.287401091068165,31.327403,-91.506849
343.0,22.477309751506247,31.341228,-91.500294
344.0,22.66721841194433,31.3546,-91.494587
345.0,22.85712707238241,31.364966,-91.483059
346.0,23.047035732820493,31.373776,-91.46937
347.0,23.236944393258575,31.387021,-91.463308
348.0,23.426853053696657,31.400412,-91.469198
349.0,23.61676171413474,31.410883,-91.480908
350.0,23.80667037457282,31.419584,-91.494169
351.0,23.996579035010903,31.429136,-91.506832
352.0,24.186487695448985,31.44132,-91.515588
353.0,24.376396355887067,31.455679,-91.5176
354.0,24.566305016325146,31.470463,-91.518506
355.0,24.756213676763227,31.484896,-91.517289
356.0,24.94612233720131,31.499369,-91.514994
357.0,25.13603099763939,31.513047,-91.50972
358.0,25.325939658077473,31.522269,-91.497139
359.0,25.515848318515555,31.529084,-91.482152
360.0,25.705756978953637,31.53421,-91.466441
361.0,25.89566563939172,31.539645,-91.450579
362.0,26.0855742998298,31.547694,-91.436407
363.0,26.275482960267883,31.556555,-91.42381
364.0,26.33245555839931,31.566304,-91.411355
365.0,26.59698166829261,31.579804,-91.405182
366.0,26.59698166829261,31.594123,-91.405235
367.0,26.59698166829261,31.608648,-91.404899
368.0,26.86150777818591,31.622941,-91.402147
369.0,26.86150777818591,31.637133,-91.398711
370.0,26.86150777818591,31.65161,-91.397566
371.0,27.100434587121793,31.66615,-91.399315
372.0,27.134566988398348,31.680569,-91.40061
373.0,27.399093098291647,31.69489,-91.401158
374.0,27.527089603078725,31.708883,-91.397123
375.0,27.663619208184947,31.721385,-91.38891
376.0,27.970810819673943,31.734004,-91.380144
377.0,28.465730638183985,31.746747,-91.371786
378.0,28.738789848396422,31.760299,-91.366252
379.0,29.122779362757665,31.77462,-91.363032
380.0,29.515301977438046,31.789172,-91.362289
381.0,29.899291491799286,31.803464,-91.358943
382.0,30.283281006160525,31.81753,-91.354106
383.0,30.675803620840906,31.831366,-91.349584
384.0,31.05979313520215,31.845231,-91.344424
385.0,31.409650248286834,31.853754,-91.330712
386.0,31.716841859775826,31.855868,-91.314289
387.0,32.21176167828587,31.856124,-91.297074
388.0,32.47628778817917,31.857204,-91.280148
389.0,32.86027730254041,31.86061,-91.263607
390.0,33.24426681690165,31.86655,-91.248102
391.0,33.551458428390646,31.874349,-91.234211
392.0,33.81598453828394,31.883476,-91.221735
393.0,34.080510648177246,31.893644,-91.209545
394.0,34.38770225966624,31.905984,-91.20057
395.0,34.66929457019781,31.919803,-91.19597
396.0,34.9082213791337,31.934212,-91.19306
397.0,35.2836777931758,31.948808,-91.190652
398.0,35.531137702430826,31.962978,-91.187624
399.0,35.9236603171112,31.97737,-91.177202
400.0,36.17112022636623,31.98244,-91.164076
401.0,36.48684493817436,31.983381,-91.146997
402.0,36.759904148386795,31.983428,-91.129916
403.0,37.02443025828009,31.984226,-91.112941
404.0,37.288956368173395,31.990008,-91.097669
405.0,37.434019073598755,32.000927,-91.08639
406.0,37.56201557838583,32.013034,-91.076983
407.0,37.826541688279136,32.026911,-91.073299
